21,16,32,31,35,'2016-03-06', '19:47:50', '360', '592', '16', '293', '23', '1IN, '20.0', '77.0\n'
23,16,42,17,45,'2016-03-06', '20:50:01', '360', '640', '66', '281', '8', '1IN, '18.975', '72.8258\n'
26,23,31,29,41,'2016-03-06', '21:20:25', '1366', '768', '4', '158', '6', '1IN, '20.0', '77.0\n'
32,31,42,30,32,'2016-03-06', '21:47:06', '403', '716', '17', '239', '16', '1IN, '28.6667', '77.2167\n'
14,22,37,33,26,'2016-03-06', '22:05:28', '1600', '900', '9', '179', '40', '1IN, '20.0', '77.0\n'
31,22,28,32,33,'2016-03-06', '22:15:25', '1366', '768', '4', '348', '20', '1IN, '28.6667', '77.2167\n'
10,15,31,34,32,'2016-03-06', '23:43:39', '480', '800', '8', '289', '12', '1IN, '18.975', '72.8258\n'
28,24,36,31,31,'2016-03-07', '00:01:55', '1366', '768', '13', '241', '110', '1IN, '20.0', '77.0\n'
18,24,23,29,27,'2016-03-07', '00:15:01', '1024', '768', '32', '628', '19', '16IN, '18.975', '72.8258\n'
28,23,29,22,41,'2016-03-07', '00:32:21', '1366', '768', '60', '192', '11', '1IN, '28.6', '77.2\n'
13,22,28,37,31,'2016-03-07', '01:21:02', '360', '640', '13', '207', '19', '2IN, '20.0', '77.0\n'
25,25,36,32,32,'2016-03-07', '01:26:47', '0', '0', '24', '155', '15', '1IN, '20.0', '77.0\n'
19,22,35,25,28,'2016-03-07', '01:36:30', '1366', '768', '5', '208', '19', '1IN, '28.6', '77.2\n'
44,38,46,33,31,'2016-03-07', '01:36:54', '1366', '768', '37', '248', '98', '1IN, '28.4667', '77.0333\n'
23,24,38,28,20,'2016-03-07', '02:43:46', '1366', '768', '219', '1974', '30', '1IN, '28.6667', '77.2167\n'
29,22,32,40,30,'2016-03-07', '03:02:04', '1366', '768', '40', '573', '6', '1IN, '12.9333', '79.1333\n'
28,44,21,21,12,'2016-03-07', '03:42:16', '1366', '768', '9', '21', '7', '2IN, '20.0', '77.0\n'
18,14,30,26,32,'2016-03-07', '03:43:53', '1366', '768', '4', '50', '11', '2IN, '20.0', '77.0\n'
20,19,35,27,28,'2016-03-07', '04:14:02', '320', '534', '12', '264', '16', '1IN, '12.9833', '77.5833\n'
32,33,39,41,33,'2016-03-07', '04:25:49', '1366', '768', '77', '4489', '94', '1IN, '28.6', '77.2\n'
33,31,37,39,35,'2016-03-07', '04:40:27', '1280', '800', '4', '317', '9', '1IN, '28.6667', '77.2167\n'
32,9,34,27,36,'2016-03-07', '06:13:24', '1366', '768', '247', '254', '23', '1IN, '18.975', '72.8258\n'
24,16,22,25,35,'2016-03-07', '06:23:43', '360', '640', '41', '315', '25', '1IN, '27.4333', '77.1\n'
15,27,29,17,40,'2016-03-07', '07:26:52', '1920', '1080', '15', '235', '15', '1IN, '8.5069', '76.9569\n'
8,17,25,25,28,'2016-03-07', '07:28:13', '1366', '768', '4', '233', '8', '1IN, '28.6667', '77.2167\n'
20,16,14,41,35,'2016-03-07', '08:08:05', '1366', '768', '81', '568', '24', '1IN, '20.0', '77.0\n'
5,11,19,25,25,'2016-03-07', '08:23:56', '1366', '768', '45', '191', '12', '1IN, '20.0', '77.0\n'
23,34,37,40,35,'2016-03-07', '09:17:53', '1280', '1024', '119', '619', '21', '1IN, '20.0', '77.0\n'
23,25,36,23,39,'2016-03-07', '09:51:39', '1280', '800', '41', '504', '19', '1IN, '18.975', '72.8258\n'
26,17,39,32,28,'2016-03-07', '10:06:53', '360', '640', '8', '357', '90', '1IN, '18.975', '72.8258\n'
21,8,44,25,37,'2016-03-07', '10:41:38', '1920', '1080', '33', '231', '5', '1IN, '18.975', '72.8258\n'
25,13,34,29,36,'2016-03-07', '10:48:33', '320', '568', '6', '263', '17', '1IN, '29.85', '76.6667\n'
23,17,31,29,29,'2016-03-07', '13:02:11', '1280', '800', '57', '193', '12', '1IN, '13.0833', '80.2833\n'
21,26,24,38,39,'2016-03-07', '15:27:47', '1366', '768', '6', '317', '22', '1IN, '20.0', '77.0\n'
23,8,37,29,34,'2016-03-07', '19:51:09', '1024', '768', '815', '267', '6', '1IN, '20.0', '77.0\n'
19,20,27,26,37,'2016-03-07', '20:32:35', '360', '640', '13', '229', '9', '1IN, '18.975', '72.8258\n'
